id,empresa_id,proveedor_id,categoria_id,suministro,calificacion_actual,nota_actual,proxima_evaluacion
d11d103d-2ef3-5e6d-be8e-36bfea0948fc,a6f1d8c3-6194-5804-ac16-a98cc205559d,26a436bc-59c4-5a30-8314-23711c19fcbd,27eab39b-d505-5d1f-85ff-615de00b8e9a,"IMPORTACION DE VALVULAS, CONEXIONES Y BRIDAS",confiable,75.0,2026-03-10
98bbaaeb-f5ec-5076-a053-272425915158,a6f1d8c3-6194-5804-ac16-a98cc205559d,411b169f-5135-5173-8f9a-4e00a3784ba5,27eab39b-d505-5d1f-85ff-615de00b8e9a,VENTA AL POR MENOR DE COMBUSTIBLES PARA VEHÍCULOS,confiable,75.0,2026-02-20
f10b50a6-aff6-50f8-821d-4830978c9a89,a6f1d8c3-6194-5804-ac16-a98cc205559d,411b169f-5135-5173-8f9a-4e00a3784ba5,6bf4bdda-3739-51f4-be22-48b0e38ea47a,VENTA AL POR MENOR DE COMBUSTIBLES PARA VEHÍCULOS AUTOMOTORES EN COMERCIOS ESPECIALIZADOS,confiable,75.0,2025-08-24
f32ad9a0-6450-5ca2-8ba6-f19bf107a735,a6f1d8c3-6194-5804-ac16-a98cc205559d,8cd0feff-f92a-5f0a-a079-bd0ed766cef0,6bf4bdda-3739-51f4-be22-48b0e38ea47a,"ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE
MAQUINARIA, EQUIPO Y BIENES TANGIBLES",confiable,75.0,2026-03-17
b8c3c706-d9a5-52ff-93a7-a18014e39786,a6f1d8c3-6194-5804-ac16-a98cc205559d,bc80dd51-3342-5416-9184-5fc28f01463d,6bf4bdda-3739-51f4-be22-48b0e38ea47a,"FABRICACIÓN DE ARTÍCULOS DE HORMIGÓN,
CEMENTO Y YESO",confiable,75.0,2026-03-17
b2fbdfed-b2d8-5b32-8d51-bcec7361df8b,a6f1d8c3-6194-5804-ac16-a98cc205559d,144a32f0-3aa0-5393-ad78-9a67ecd3dccc,27eab39b-d505-5d1f-85ff-615de00b8e9a,SERVICIO DE ALQUILER MAQUINARIAS,confiable,75.0,2026-04-08
03e7290b-89db-53d5-b474-943057605c65,a6f1d8c3-6194-5804-ac16-a98cc205559d,144a32f0-3aa0-5393-ad78-9a67ecd3dccc,6bf4bdda-3739-51f4-be22-48b0e38ea47a,SERVICIO DE ALQUILER MAQUINARIAS,confiable,75.0,2025-10-10
f7fe80a2-bf9d-50e7-9372-8fe4bc63c54e,a6f1d8c3-6194-5804-ac16-a98cc205559d,b645b3aa-f8c5-5c70-8721-af894be5a9ed,27eab39b-d505-5d1f-85ff-615de00b8e9a,CALIBRACIONES Y MANTENIMIENTO DE EQUIPOS,confiable,75.0,2026-03-11
edc676d6-b1c0-51fb-8e6e-b86a8e6a4b7b,a6f1d8c3-6194-5804-ac16-a98cc205559d,b645b3aa-f8c5-5c70-8721-af894be5a9ed,6bf4bdda-3739-51f4-be22-48b0e38ea47a,CALINBRACION Y MANTENIMIENTO DE EQUIPOS,confiable,75.0,2025-09-12
e195bb7d-9d38-518e-9a55-d61c8b5b3f43,a6f1d8c3-6194-5804-ac16-a98cc205559d,1eb8ec94-5ed4-5d2a-8c00-70f5da6767aa,27eab39b-d505-5d1f-85ff-615de00b8e9a,FABRICACIÓN Y DISTRIBUCIÓN DE EQUIPOS DE PROTECCIÓN PERSONAL EPPS,confiable,75.0,2026-03-30
